cluster,cluster_label,rank,name_en,name_zh,score,query_with_max_score
0,苹果 | pcs | fruit | 富士,1,【8pcs】New Zealand / Canada mini Apple蘋果,【8個】紐西蘭/加拿大/小蘋果 (甜爽),0.6461752653121948,apple fruit
1,bands | loop | sport | 毫米,1,42mm Neon Yellow Solo Loop - Size 9,Apple 42 毫米霓虹黃色單圈手環 - 9 號,0.6246901154518127,apple watch
1,bands | loop | sport | 毫米,2,42mm Neon Yellow Solo Loop - Size 3,Apple 42 毫米霓虹黃色單圈手環 - 3 號,0.6211929321289062,apple watch
1,bands | loop | sport | 毫米,3,42mm Neon Yellow Solo Loop - Size 6,Apple 42 毫米霓虹黃色單圈手環 - 6 號,0.620958685874939,apple watch
4,苹果 | apples | 水果 | fruit,1,"Pollution-Free, Fresh Delivery | 8-pcs  Apples | Crisp & Delicious",無公害種植新鮮直送  8個裝 蘋果  林檎擷秀  甘脆入頤 ,0.688910722732544,青蘋果
4,苹果 | apples | 水果 | fruit,2,"Pollution-Free, Fresh Delivery | 8-pcs  Apples | Crisp & Delicious",無公害種植新鮮直送  8個裝 蘋果  林檎擷秀  甘脆入頤 ,0.688910722732544,青蘋果
4,苹果 | apples | 水果 | fruit,3,"Pollution-Free, Fresh Delivery | 5-pcs  Apples | Crisp & Delicious",無公害種植新鮮直送  5個裝 蘋果  林檎擷秀  甘脆入頤 ,0.6850764751434326,青蘋果
6,band | sport band | 表带 | 运动 表带,1,WATCH S11 GPS 42 GD AL BH SP BD S/M,Apple Watch Series 11 智能手錶 GPS 42mm 玫瑰金鋁殼淺粉錶帶S/M,0.6654664278030396,apple watch
7,loop size | size | solo | solo loop,1,Apple Pencil Tips - 4 pack,Apple Pencil 筆尖 - 4 個裝,0.788020133972168,apple pencil
7,loop size | size | solo | solo loop,2,46mm Light Blush Solo Loop - Size 8,Apple 46 毫米淡胭脂色單圈手環 - 8 號,0.5564619898796082,apple pencil
7,loop size | size | solo | solo loop,3,46mm Light Blush Solo Loop - Size 1,Apple 46 毫米淡胭脂色單圈手環 - 1 號,0.5561574697494507,apple pencil
8,usb | cable | usb usb | lightning,1,USB-C to Apple Pencil Adapter,Apple USB-C 至 Apple Pencil 轉換器,0.6521586775779724,apple pencil
11,strap | the,1,Scosche WatchIt Keychain Apple Watch Magnetic Fast Charger - White,Scosche WatchIt Keychain Apple Watch 磁力快速充電器 - 白色,0.7091035842895508,apple watch
12,airtag | air | iphone | macbook,1,Smart Folio for iPad (A16) – Lemonade,Apple 智慧型摺套適用於 iPad (A16) - 鮮檸色,0.6273236274719238,蘋果手機
12,airtag | air | iphone | macbook,2,iPad A16 (2025)  Wi-Fi 256GB silver Apple ,Apple iPad A16 (2025)  Wi-Fi 平板電腦 256GB 銀色,0.6257587671279907,蘋果手機
12,airtag | air | iphone | macbook,3,Logitech Crayon for iPad,Logitech Crayon 適用於 iPad,0.6236312985420227,apple pencil
