keyword,query,sem_n_results,sem_avg_score,sem_n_clusters,sem_clusters,kw_n_results,kw_avg_score,kw_n_clusters,kw_clusters,overlap_n_clusters,cluster_overlap_ratio
apple,apple iphone,10,0.5974963903427124,4,"[0, 6, 7, 14]",10,0.24576409571212304,1,[4],0,0.0
apple,apple fruit,10,0.6439278721809387,2,"[0, 5]",10,0.060438254029575034,2,"[0, 5]",2,1.0
apple,apple pencil,10,0.6110134720802307,4,"[0, 2, 3, 7]",10,0.19572300119658825,4,"[0, 3, 7, 9]",3,0.75
apple,apple watch,10,0.642318844795227,4,"[1, 7, 10, 12]",10,0.13224512269756136,3,"[1, 3, 13]",1,0.3333333333333333
apple,蘋果手機,10,0.6243749856948853,2,"[6, 7]",0,,0,[],0,0.0
apple,青蘋果,10,0.6667092442512512,1,[5],0,,0,[],0,0.0
samsung,samsung phone,10,0.6315674781799316,3,"[1, 7, 11]",10,0.09271661190226839,3,"[3, 7, 9]",1,0.3333333333333333
samsung,samsung galaxy,10,0.6748554706573486,2,"[7, 11]",10,0.1590777437930592,5,"[6, 7, 9, 10, 11]",2,1.0
samsung,samsung tv,10,0.7147859930992126,1,[5],10,0.12630964940735862,3,"[5, 8, 10]",1,1.0
samsung,三星手機,10,0.6996818780899048,1,[7],0,,0,[],0,0.0
xiaomi,xiaomi phone,10,0.679416835308075,3,"[3, 10, 11]",10,0.1259190933334025,1,[10],1,1.0
xiaomi,xiaomi mi,10,0.6435115337371826,3,"[0, 4, 11]",10,0.1640550076488947,5,"[1, 3, 9, 10, 11]",1,0.3333333333333333
xiaomi,小米手機,10,0.6757912039756775,3,"[3, 10, 11]",0,,0,[],0,0.0
xiaomi,小米電視,10,0.763207733631134,1,[6],10,0.06180759988314742,1,[6],1,1.0
speaker,bluetooth speaker,10,0.7566694021224976,2,"[4, 8]",10,0.12911684258254535,2,"[8, 10]",1,0.5
speaker,wireless speaker,10,0.7032660245895386,3,"[4, 8, 14]",10,0.12452775297018663,5,"[2, 4, 5, 8, 14]",3,1.0
speaker,portable speaker,10,0.6952530145645142,3,"[4, 5, 14]",10,0.12716711953307044,3,"[4, 5, 8]",2,0.6666666666666666
speaker,藍牙喇叭,10,0.7214621305465698,2,"[5, 10]",10,0.06016759423029712,8,"[4, 5, 6, 7, 8, 9, 10, 13]",2,1.0
